category,n_products,pct,avg_price,median_price,avg_rating,n_brands
Beauty & Hygiene,7867,28.55120853596574,396.1548239481378,245.0,3.972111351213931,644
Gourmet & World Food,4690,17.021122160121944,309.6866460554371,239.7,4.034840085287847,546
"Kitchen, Garden & Pets",3580,12.992668940988604,472.37244413407825,299.0,3.7948044692737435,240
Snacks & Branded Foods,2814,10.212673296073167,129.77943496801703,87.12,3.9974413646055433,354
"Foodgrains, Oil & Masala",2676,9.711838571532263,191.35282511210758,100.0,4.071935724962631,235
Cleaning & Household,2674,9.704580097263555,225.56080777860885,159.0,3.9802169035153327,391
Beverages,885,3.2118748639036077,238.57303954802262,175.0,4.101581920903955,171
"Bakery, Cakes & Dairy",851,3.0884808013355594,142.95721504112808,109.0,3.9240893066980025,85
Baby Care,610,2.2138346519561587,530.0819508196721,319.66499999999996,4.04672131147541,65
Fruits & Vegetables,557,2.021485083835378,51.31822262118492,32.0,3.0,5
"Eggs, Meat & Fish",350,1.2702329970240256,288.8974857142857,230.0,3.0,44
