test,n_samples,n_clusters,silhouette,davies_bouldin,calinski_harabasz,cluster_sizes,size_std,size_min,size_max,source_data_pct,target_data_pct,strategy,pair_id,transfer_quality_pct,pair_name,expected_transfer,week1_score,source_silhouette
Test 1: Transfer as-is,1200,3,0.36940747775453225,0.9368985943396333,763.8913816510784,"{0: 405, 1: 642, 2: 153}",199.66471896657157,153,642,100,0,Transfer as-is,1,100.75434040624569,"Cleaning and Household → Foodgrains,Oil & Masala",HIGH,0.892,0.39023888467717566
Test: Fine-tune 10%,1200,3,0.36920095203615405,0.9370715109611432,763.8367198435773,"{0: 407, 1: 153, 2: 640}",198.8785223865731,153,640,100,10,Fine-tune 10%,1,100.69801138264658,"Cleaning and Household → Foodgrains,Oil & Masala",HIGH,0.892,0.39023888467717566
Test: Fine-tune 20%,1200,3,0.3700790105948879,0.9313096635557568,762.6815298347888,"{0: 418, 1: 639, 2: 143}",202.89077521333164,143,639,100,20,Fine-tune 20%,1,100.93749817230511,"Cleaning and Household → Foodgrains,Oil & Masala",HIGH,0.892,0.39023888467717566
Test: Fine-tune 50%,1200,3,0.3701596525433031,0.9338520522376083,772.0253513188874,"{0: 146, 1: 636, 2: 418}",200.44616899972587,146,636,100,50,Fine-tune 50%,1,100.95949292555437,"Cleaning and Household → Foodgrains,Oil & Masala",HIGH,0.892,0.39023888467717566
Test 5: Train from scratch,1200,3,0.3666417508814667,0.9376458667984587,781.2220628759777,"{0: 618, 1: 157, 2: 425}",189.03086167783997,157,618,0,100,Train from scratch,1,100.0,"Cleaning and Household → Foodgrains,Oil & Masala",HIGH,0.892,0.39023888467717566
Test 1: Transfer as-is,1200,3,0.3276015260608049,0.8048938971938115,754.3878523884465,"{0: 873, 1: 176, 2: 151}",334.61719421850796,151,873,100,0,Transfer as-is,2,82.94905982097438,Snacks & Branded Foods → Fruits & Vegetables,MODERATE,0.763,0.3884974772260798
Test: Fine-tune 10%,1200,3,0.3261700128277155,0.8016311540206758,744.8135462934747,"{0: 147, 1: 881, 2: 172}",340.2714602588155,147,881,100,10,Fine-tune 10%,2,82.58659912601411,Snacks & Branded Foods → Fruits & Vegetables,MODERATE,0.763,0.3884974772260798
Test: Fine-tune 20%,1200,3,0.3254752360495085,0.8048228397572458,746.8824307663069,"{0: 880, 1: 173, 2: 147}",339.5771880834557,147,880,100,20,Fine-tune 20%,2,82.4106808962345,Snacks & Branded Foods → Fruits & Vegetables,MODERATE,0.763,0.3884974772260798
Test: Fine-tune 50%,1200,3,0.3326412363860604,0.8296970023019722,792.7813501862456,"{0: 841, 1: 201, 2: 158}",312.32781923272006,158,841,100,50,Fine-tune 50%,2,84.2251199122586,Snacks & Branded Foods → Fruits & Vegetables,MODERATE,0.763,0.3884974772260798
Test 5: Train from scratch,1200,3,0.3949430249937179,0.8659092887718042,979.7352472828771,"{0: 577, 1: 128, 2: 495}",195.2246569126622,128,577,0,100,Train from scratch,2,100.0,Snacks & Branded Foods → Fruits & Vegetables,MODERATE,0.763,0.3884974772260798
